Time (seconds),x,y,z
34.77,0,-64,-976
34.87,-12,-52,-916
34.97,60,-52,-1024
35.07,120,24,-1004
35.17,128,28,-1032
35.27,92,44,-940
35.37,108,48,-980
35.47,112,56,-1000
35.57,108,72,-988
35.67,88,88,-964
35.77,100,80,-992
35.87,92,104,-976
35.97,88,92,-984
36.07,100,92,-992
36.17,92,96,-980
36.27,96,92,-996
36.37,84,116,-952
36.47,96,108,-1012
36.57,88,100,-1000
36.67,72,116,-960
36.77,72,116,-988
36.87,88,128,-984
36.97,64,124,-976
37.07,80,136,-992
37.17,76,124,-984
37.27,88,128,-984
37.37,76,140,-968
37.47,88,124,-1000
37.57,76,132,-984
37.67,88,132,-980
37.77,88,144,-988
37.87,80,132,-988
37.97,88,136,-992
38.07,88,148,-980
38.17,92,140,-1000
38.27,84,164,-988
38.37,76,148,-972
38.47,92,164,-1032
38.57,48,184,-932
38.67,40,136,-960
38.77,56,172,-996
38.87,52,184,-980
38.97,60,188,-980
39.07,56,188,-972
39.17,56,192,-976
39.27,48,188,-976
39.37,60,204,-972
39.47,52,192,-976
39.57,44,204,-956
39.67,52,196,-976
39.77,52,196,-972
39.87,52,200,-980
39.97,48,200,-984
40.07,48,196,-988
40.17,48,200,-980
40.27,36,200,-972
40.37,32,200,-980
40.47,44,212,-980
40.57,40,200,-976
40.67,44,208,-976
40.77,36,204,-976
40.87,32,200,-972
40.97,32,212,-976
41.07,32,204,-968
41.17,36,224,-952
41.27,44,232,-952
41.37,84,268,-976
41.47,92,276,-968
41.57,76,304,-928
41.67,80,300,-944
41.77,68,316,-896
41.87,56,336,-872
41.97,172,188,-924
42.07,216,328,-836
42.17,356,284,-976
42.27,400,328,-896
42.37,408,288,-844
42.47,468,152,-948
42.57,520,76,-908
42.67,508,140,-820
42.77,476,144,-856
42.87,456,128,-796
42.97,408,92,-956
43.07,516,160,-736
43.17,468,148,-844
43.27,464,160,-852
43.37,464,148,-852
43.47,460,156,-856
43.57,460,152,-860
43.67,452,160,-844
43.77,448,140,-852
43.87,464,148,-852
43.97,456,152,-856
44.07,452,152,-864
44.17,448,148,-856
44.27,448,144,-860
44.37,444,148,-860
44.47,448,152,-856
44.57,448,148,-852
44.67,444,152,-864
44.77,444,144,-860
44.87,448,144,-864
44.97,444,148,-860
45.07,448,144,-860
45.17,448,144,-856
45.27,440,144,-864
45.37,448,144,-860
45.47,444,140,-864
45.57,444,144,-868
45.67,444,148,-856
45.77,440,156,-856
45.87,436,148,-864
45.97,448,140,-864
46.07,440,144,-864
46.17,440,144,-872
46.27,440,144,-864
46.37,444,140,-860
46.47,444,144,-864
46.57,444,144,-868
46.67,440,140,-864
46.77,432,136,-868
46.87,432,144,-872
46.97,440,144,-864
47.07,444,140,-864
47.17,428,144,-868
47.27,432,144,-868
47.37,432,148,-872
47.47,436,140,-872
47.57,436,144,-868
47.67,440,144,-876
47.77,436,144,-860
47.87,432,144,-872
47.97,436,144,-864
48.07,432,144,-868
48.17,436,140,-864
48.27,432,144,-876
48.37,440,140,-868
48.47,428,148,-872
48.57,432,148,-868
48.67,432,140,-860
48.77,436,152,-864
48.87,424,144,-880
48.97,432,136,-880
49.07,432,144,-872
49.17,432,140,-868
49.27,436,140,-868
49.37,436,136,-872
49.47,428,136,-872
49.57,432,140,-872
49.67,428,140,-868
49.77,436,140,-880
49.87,428,144,-868
49.97,440,148,-864
50.07,432,144,-872
50.17,428,144,-864
50.27,428,136,-880
50.37,428,148,-868
50.47,428,140,-868
50.57,428,144,-876
50.67,428,144,-872
50.77,428,140,-868
50.87,428,144,-872
50.97,428,148,-876
51.07,428,140,-876
51.17,428,136,-872
51.27,428,144,-872
51.41,428,148,-880
51.51,416,136,-872
51.61,432,136,-880
51.71,428,136,-872
51.81,432,136,-872
51.91,424,140,-872
52.01,432,144,-872
52.11,416,144,-876
52.21,420,144,-872
52.31,420,144,-868
52.41,424,140,-872
52.51,424,140,-876
52.61,424,136,-872
52.71,420,144,-872
52.81,428,136,-880
52.91,420,140,-872
53.01,428,148,-880
53.11,424,136,-876
53.21,424,140,-884
53.31,428,132,-876
53.41,412,144,-876
53.51,424,140,-868
53.61,428,140,-868
53.71,424,140,-872
53.81,420,140,-872
53.91,424,140,-876
54.01,432,140,-872
54.11,424,136,-880
54.21,428,136,-872
54.31,420,136,-876
54.41,428,144,-872
54.51,428,136,-880
54.61,424,140,-880
54.71,424,140,-868
54.81,416,140,-876
54.91,424,136,-872
55.01,428,144,-884
55.11,416,144,-872
55.21,424,140,-872
55.31,420,140,-876
55.41,416,144,-868
55.51,424,136,-880
55.61,420,136,-872
55.71,424,136,-872
55.81,420,140,-880
55.91,412,140,-876
56.01,416,132,-880
56.11,420,132,-876
56.21,420,136,-880
56.31,424,136,-876
56.41,412,140,-884
56.51,420,140,-872
56.61,420,140,-876
56.71,420,140,-884
56.81,412,136,-876
56.91,412,136,-880
57.01,420,148,-872
57.11,420,136,-872
57.21,416,136,-880
57.31,424,136,-872
57.41,420,136,-876
57.51,416,136,-880
57.61,416,132,-872
57.71,424,136,-880
57.81,420,136,-880
57.91,416,140,-876
58.01,424,132,-876
58.11,416,136,-876
58.21,416,132,-880
58.31,420,144,-876
58.41,416,148,-872
58.51,416,140,-872
58.61,420,128,-876
58.71,424,140,-884
58.81,424,136,-876
58.91,424,136,-876
59.01,416,144,-884
59.11,420,136,-880
59.21,416,136,-876
59.31,420,136,-884
59.41,420,140,-872
59.51,420,144,-876
59.61,420,140,-876
59.71,416,136,-880
59.81,416,136,-880
59.91,416,132,-876
60.01,416,136,-876
60.11,420,140,-876
60.21,416,140,-880
60.31,416,140,-880
60.41,412,140,-888
60.51,420,144,-880
60.61,416,132,-884
60.71,420,136,-884
60.81,416,132,-872
60.91,416,140,-880
61.01,412,152,-880
61.11,412,140,-876
61.21,416,140,-864
61.31,420,132,-876
61.41,408,140,-872
61.51,416,136,-876
61.61,416,136,-876
61.71,412,132,-884
61.81,416,124,-884
61.91,412,136,-880
62.01,416,132,-884
62.11,408,136,-872
62.21,408,140,-872
62.31,416,136,-872
62.41,412,136,-880
62.51,412,132,-880
