"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.412391910E-1,-1.023658180E1,-2.086983490E1,-6.960578918E0,2.426493921E1
6.512379570E-1,-1.847697020E0,-2.406635857E1,-6.379247665E0,2.496594480E1
6.612367230E-1,9.988361359E0,-2.482572746E1,-5.310317039E0,2.728156106E1
6.712354890E-1,2.460078430E1,-2.291219139E1,-1.444517612E0,3.364897820E1
6.812342550E-1,3.250740433E1,-1.937031937E1,3.185290337E0,3.797481643E1
6.912330210E-1,3.791061020E1,-1.506211758E1,1.001811695E1,4.200529037E1
7.012317870E-1,3.806892395E1,-1.057930374E1,1.494690037E1,4.224422409E1
7.112304870E-1,3.392625427E1,-6.884100914E0,1.362933445E1,3.720403650E1
7.212292530E-1,2.949385834E1,-3.202468157E0,4.846601486E0,3.006048948E1
7.312280190E-1,2.871536446E1,-5.344140530E-1,4.272648811E0,2.903641304E1
7.412267190E-1,2.619712067E1,-8.699727058E-2,6.617588997E-1,2.620562200E1
7.512254850E-1,2.322906494E1,-5.000679493E-1,-2.018679619E0,2.332197662E1
7.612242510E-1,2.101454163E1,-1.412420988E0,-4.147167206E0,2.146636645E1
7.712230170E-1,2.007465363E1,-3.066244125E0,-6.120018005E0,2.120962498E1
7.812217830E-1,2.013300133E1,-4.648720264E0,-7.648413181E0,2.203285199E1
7.912205490E-1,1.812703896E1,-6.184524536E0,-9.619836807E0,2.143313195E1
8.012193150E-1,1.410066414E1,-9.603770256E0,-1.001615238E1,1.978343855E1
8.112180810E-1,9.075395584E0,-1.197567749E1,-1.042097950E1,1.828596375E1
8.212167810E-1,3.021041155E0,-1.271186447E1,-9.655570030E0,1.624648333E1
8.312155470E-1,-1.372017145E0,-1.484269905E1,-9.427720070E0,1.763717812E1
8.412143130E-1,-4.994929790E0,-1.946372986E1,-1.019908714E1,2.253458414E1
8.512130130E-1,-1.571147537E1,-2.094539070E1,-8.989626884E0,2.768344707E1
8.612117790E-1,-2.729782867E1,-1.827797699E1,-6.919377327E0,3.357281156E1
8.712105120E-1,-4.120616913E1,-1.219841194E1,-6.426580906E0,4.345170388E1
8.812091780E-1,-4.995953369E1,-8.457166672E0,-7.030216217E0,5.115567041E1
8.912078780E-1,-4.843059921E1,-9.678008080E0,-6.490938663E0,4.981284036E1
9.012066110E-1,-3.967435074E1,-1.320612907E1,-6.505694866E0,4.231760883E1
9.112053440E-1,-3.034354019E1,-1.731452942E1,-7.390545845E0,3.570915188E1
9.212040770E-1,-2.579822731E1,-1.881105423E1,-6.362069607E0,3.255580168E1
9.312028100E-1,-2.426189804E1,-2.065166473E1,-4.146442413E0,3.212979828E1
9.412015430E-1,-2.203937149E1,-2.270454407E1,-1.701766968E0,3.168795083E1
9.512002760E-1,-1.793622971E1,-2.451579285E1,-5.754137039E-1,3.038196070E1
9.611989090E-1,-1.294466972E1,-2.579299545E1,-1.736174107E0,2.891119834E1
9.711976420E-1,-1.186922073E0,-2.728815842E1,-5.067265511E0,2.778002076E1
9.811964080E-1,8.514454842E0,-2.625235748E1,-6.298290253E0,2.830813796E1
9.911951080E-1,2.047431374E1,-2.231579781E1,-5.447850227E0,3.077127600E1
1.001193874E0,3.039765358E1,-1.772975349E1,-2.436625004E0,3.527461755E1
1.011192640E0,3.495211792E1,-1.145483589E1,1.082756042E0,3.679723051E1
1.021191406E0,3.695857239E1,-4.544488907E0,5.617220879E0,3.765822118E1
1.031190172E0,3.974536514E1,3.390188217E-1,6.613977432E0,4.029334538E1
1.041188938E0,4.076308823E1,3.190538406E0,6.144730568E0,4.134690570E1
1.051187671E0,3.975079346E1,4.263621807E0,5.320897102E0,4.033132774E1
1.061186437E0,3.533007431E1,4.280956745E0,2.795353413E0,3.569810558E1
1.071185137E0,3.127372551E1,2.669860363E0,1.638648033E0,3.143022795E1
1.081183903E0,2.914033508E1,4.122591019E-2,-4.483714104E-1,2.914381350E1
1.091182669E0,2.686340714E1,-2.932309151E0,-3.001471996E0,2.718915067E1
1.101181369E0,2.275658417E1,-6.209347725E0,-4.960451126E0,2.410444352E1
1.111180102E0,1.677288628E1,-9.914220810E0,-6.134175301E0,2.042668830E1
1.121178868E0,9.112321854E0,-1.360597706E1,-6.828732491E0,1.774228307E1
1.131177568E0,1.636949778E0,-1.684797096E1,-6.997295380E0,1.831654642E1
1.141176334E0,-6.551438332E0,-2.044783974E1,-8.231086731E0,2.299535351E1
1.151175100E0,-2.001580620E1,-1.995084763E1,-1.131006622E1,3.043988201E1
1.161173866E0,-3.178549385E1,-1.687795639E1,-1.337453461E1,3.839350475E1
1.171172632E0,-4.422864532E1,-1.131839180E1,-1.289369202E1,4.743971284E1
1.181171365E0,-4.949084854E1,-8.312583923E0,-9.781024933E0,5.112838340E1
1.191170165E0,-4.360235596E1,-1.146894264E1,-7.717739105E0,4.574128974E1
1.201168931E0,-3.702043533E1,-1.546011543E1,-3.026873112E0,4.023294374E1
1.211167631E0,-3.179391670E1,-1.952569389E1,5.314389229E0,3.768751244E1
1.221166397E0,-2.709463310E1,-2.293798447E1,9.497361183E0,3.674874343E1
1.231165163E0,-2.049458885E1,-2.633318710E1,1.151719284E1,3.530029244E1
1.241163896E0,-1.199019909E1,-2.889177322E1,8.739496231E0,3.247888897E1
1.251162696E0,1.384296894E0,-3.083162308E1,3.017570496E0,3.100985313E1
1.261161629E0,2.367352676E1,-2.996683311E1,-3.814863682E0,3.837968397E1
1.271160529E0,4.631039810E1,-1.936856651E1,-7.934293747E0,5.082073748E1
1.281159462E0,5.215676117E1,-8.542666435E0,-8.311890602E0,5.350133093E1
1.291158428E0,4.961146164E1,-4.440103531E0,-8.108950615E0,5.046550035E1
1.301157394E0,3.768841934E1,2.293163300E0,3.414855003E-1,3.775966317E1
1.311156394E0,3.117463303E1,5.513126850E0,4.782386303E0,3.201755035E1
1.321155394E0,2.659518433E1,6.377662659E0,2.607381344E0,2.747320236E1
1.331154460E0,2.482266426E1,4.385243893E0,-3.828198910E0,2.549608072E1
1.341153526E0,2.497077179E1,2.668560028E0,-3.801537275E0,2.539906183E1
1.351152559E0,2.424223900E1,-2.218433857E0,-6.535702229E0,2.520561453E1
1.361151625E0,2.214224625E1,-5.720929146E0,-7.753314972E0,2.414791900E1
