"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.663564200E-2,1.069785118E0,-1.836714268E0,1.496201038E0,2.599341657E0
4.663564200E-2,1.067242146E0,-1.850755215E0,1.514780045E0,2.618942391E0
5.663564200E-2,1.064895391E0,-1.864507198E0,1.533032894E0,2.638290951E0
6.663497500E-2,1.062719941E0,-1.877975464E0,1.550997734E0,2.657397126E0
7.663447500E-2,1.073959112E0,-1.871137142E0,1.540279865E0,2.650849759E0
8.663347500E-2,1.083545923E0,-1.867054939E0,1.533454418E0,2.647913965E0
9.663280800E-2,1.090416431E0,-1.865132332E0,1.529897690E0,2.647321958E0
1.066319500E-1,1.094883084E0,-1.864709854E0,1.528665543E0,2.648155990E0
1.166309500E-1,1.098238945E0,-1.865014553E0,1.528558254E0,2.649697794E0
1.266300610E-1,1.102150440E0,-1.864585400E0,1.527402878E0,2.650353534E0
1.366290610E-1,1.107074261E0,-1.861730099E0,1.522943974E0,2.647831325E0
1.466279700E-1,1.111911058E0,-1.854598999E0,1.512957096E0,2.639114022E0
1.566269700E-1,1.115804911E0,-1.845625877E0,1.500746250E0,2.627469274E0
1.666258930E-1,1.118460178E0,-1.835784435E0,1.487636566E0,2.614215029E0
1.766247500E-1,1.119797945E0,-1.825955868E0,1.474782467E0,2.600585625E0
1.866236830E-1,1.120359778E0,-1.815877914E0,1.461775780E0,2.586388807E0
1.966226200E-1,1.121713400E0,-1.804759979E0,1.447356701E0,2.571038886E0
2.066216200E-1,1.122437954E0,-1.792695045E0,1.431894302E0,2.554201202E0
2.166205640E-1,1.118146300E0,-1.780428886E0,1.416957378E0,2.535339500E0
2.266195640E-1,1.104996681E0,-1.769922256E0,1.405616283E0,2.515829803E0
2.366186140E-1,1.085582018E0,-1.763648033E0,1.400597095E0,2.500122982E0
2.466177090E-1,1.064553857E0,-1.761528969E0,1.401131630E0,2.489865271E0
2.566167540E-1,1.045879960E0,-1.761410236E0,1.403888702E0,2.483411847E0
2.666158400E-1,1.032313228E0,-1.760828018E0,1.405302048E0,2.478116171E0
2.766148810E-1,1.023772955E0,-1.758547783E0,1.403788090E0,2.472088665E0
2.866138810E-1,1.016582251E0,-1.755111217E0,1.400621891E0,2.464872520E0
2.966129190E-1,1.007165909E0,-1.752075195E0,1.398334503E0,2.457537394E0
3.066119190E-1,9.939565659E-1,-1.750957012E0,1.399111271E0,2.451797802E0
3.166109540E-1,9.745175838E-1,-1.756050110E0,1.408762455E0,2.453162890E0
3.266099540E-1,9.517252445E-1,-1.762606144E0,1.420937061E0,2.455936378E0
3.366089200E-1,9.262596369E-1,-1.770408154E0,1.435276508E0,2.460146459E0
3.466078860E-1,8.983919621E-1,-1.777219772E0,1.448948860E0,2.462736493E0
3.566067860E-1,8.688192368E-1,-1.782131672E0,1.460683823E0,2.462607844E0
3.666056860E-1,8.382493258E-1,-1.785469532E0,1.470769882E0,2.460432366E0
3.766045860E-1,8.081287146E-1,-1.790789604E0,1.483494282E0,2.461860010E0
3.866035190E-1,7.781002522E-1,-1.801455975E0,1.503249168E0,2.471930762E0
3.966023520E-1,7.491819859E-1,-1.818699837E0,1.531524658E0,2.492892000E0
4.066012520E-1,7.241009474E-1,-1.841423035E0,1.566457748E0,2.523678041E0
4.166001520E-1,-1.337265015E0,-5.680068016E0,3.444087982E0,6.775927421E0
4.265989850E-1,-1.347549558E0,-5.705003738E0,3.479434967E0,6.816848623E0
4.365978850E-1,-1.350903749E0,-5.734441757E0,3.519633770E0,6.862695176E0
4.465967850E-1,-5.729308724E-1,-6.307744503E0,1.237858200E1,1.390486184E1
4.565956850E-1,-6.418890357E-1,-6.299646854E0,1.142364311E1,1.306128608E1
4.665945850E-1,-4.420732260E-1,-6.202625751E0,1.005660152E1,1.182384156E1
4.765934850E-1,-2.829026580E-1,-6.212330818E0,9.189596176E0,1.109602478E1
4.865923850E-1,-1.585133076E-1,-6.373249054E0,8.330009460E0,1.048963715E1
4.965912510E-1,-2.601338029E-1,-6.628205776E0,7.495371342E0,1.000906454E1
5.065900510E-1,-5.453668833E-1,-6.871558666E0,6.687863827E0,9.604335797E0
5.165889170E-1,-1.029200196E0,-7.072712421E0,5.860428333E0,9.242680038E0
5.265877170E-1,-1.487827063E0,-7.159281731E0,4.593677044E0,8.635439366E0
5.365864500E-1,-1.902003527E0,-7.168742657E0,3.374495983E0,8.148356388E0
5.465851500E-1,-2.250637770E0,-7.095686436E0,2.020972013E0,7.713524761E0
5.565838830E-1,-2.335186005E0,-7.074212074E0,3.906161785E-1,7.459902891E0
5.665825830E-1,-1.480201244E0,-6.626174927E0,-7.795858383E-2,6.789938691E0
5.765813160E-1,-8.750488162E-1,-6.406748772E0,-1.568215966E0,6.653678800E0
5.865800820E-1,-8.051226139E-1,-6.083756447E0,-2.751737356E0,6.725501721E0
5.965788480E-1,-7.147693634E-1,-6.258992195E0,-4.445439339E0,7.710240558E0
6.065776140E-1,-6.422128677E-1,-5.842654228E0,-4.420875549E0,7.354807028E0
6.165763140E-1,-1.509279728E0,-5.918771744E0,-6.528883934E0,8.940699619E0
6.265750800E-1,-2.240847349E0,-6.338014603E0,-5.635487080E0,8.772145722E0
6.365738460E-1,-2.260094404E0,-6.892981052E0,-6.968307495E0,1.005875359E1
6.465725460E-1,-2.814453840E0,-6.142845154E0,-4.325855255E0,8.023011946E0
6.565713120E-1,-3.456750154E0,-7.115462303E0,-2.831760645E0,8.402249328E0
6.665700780E-1,-2.442897558E0,-8.924456596E0,-4.579948425E0,1.032422402E1
6.765687780E-1,-2.734940290E0,-9.113332748E0,-5.568236351E0,1.102442689E1
6.865675440E-1,-1.662803888E0,-9.907328606E0,-5.976493835E0,1.168924957E1
6.965663100E-1,-1.087214708E0,-1.021894932E1,-5.570204735E0,1.168914632E1
7.065650430E-1,-6.461546421E-1,-1.068889236E1,-5.444444656E0,1.201298936E1
7.165638090E-1,-8.301579952E-1,-1.084924221E1,-5.319395065E0,1.211161355E1
7.265625750E-1,-1.178979874E0,-1.090642452E1,-5.557075500E0,1.229720202E1
7.365613410E-1,-1.249026418E0,-1.089188671E1,-4.591694832E0,1.188599699E1
7.465601070E-1,-1.518187881E0,-1.069365215E1,-3.273738861E0,1.128611789E1
7.565588070E-1,-1.882720113E0,-1.017864704E1,-2.210465193E0,1.058468927E1
7.665575400E-1,-1.895606041E0,-9.772854805E0,-1.123777866E0,1.001822789E1
7.765563060E-1,-2.009694576E0,-9.655668259E0,-1.379798651E0,9.958646802E0
7.865550060E-1,-8.946317434E-1,-8.644923210E0,9.031901360E-1,8.737895381E0
7.965537720E-1,-5.988262892E-1,-6.971464634E0,3.454609871E0,7.803476240E0
8.065525380E-1,1.621100307E-1,-6.423850060E0,6.166896820E0,8.906331772E0
8.165513040E-1,6.910895109E-1,-5.688712120E0,1.005076218E1,1.156965300E1
8.265500700E-1,9.210230112E-1,-5.601807594E0,1.458748817E1,1.565322149E1
8.365488030E-1,1.940889359E-1,-5.851571560E0,1.836759186E1,1.927814802E1
8.465476030E-1,-1.191766500E0,-6.011184216E0,2.149081612E1,2.234747906E1
8.565463690E-1,-2.650825739E0,-6.059890270E0,2.401712608E1,2.491127240E1
8.665451020E-1,-3.190782547E0,-6.187877178E0,2.609951591E1,2.701213891E1
8.765438680E-1,-3.023913383E0,-6.409477234E0,2.664507294E1,2.757145920E1
8.865426010E-1,-3.273363113E0,-6.043567657E0,2.643241882E1,2.731139654E1
8.965412340E-1,-3.145603180E0,-5.845084190E0,2.571820641E1,2.656098585E1
9.065399670E-1,-2.560187340E0,-5.775086403E0,2.508271790E1,2.586597996E1
9.165387000E-1,-1.892822742E0,-5.854078293E0,2.434753990E1,2.511285945E1
9.265373660E-1,-1.396643400E0,-5.874128342E0,2.322251129E1,2.399460413E1
9.365360990E-1,-1.103485942E0,-5.882210732E0,2.195140266E1,2.275262981E1
9.465348320E-1,-8.595085144E-1,-6.103639126E0,2.040533066E1,2.131597253E1
9.565335650E-1,-7.153222561E-1,-6.419441700E0,1.944882774E1,2.049336035E1
9.665322980E-1,-6.805844903E-1,-6.720004559E0,1.787585831E1,1.910936856E1
9.765310310E-1,-8.015879989E-1,-7.008376598E0,1.639403152E1,1.784724504E1
9.865297640E-1,-1.099713445E0,-7.053143501E0,1.476173210E1,1.639710150E1
9.965284970E-1,-1.237421632E0,-7.109517574E0,1.264744949E1,1.456140210E1
1.006527230E0,-8.525961637E-1,-7.491899967E0,9.412584305E0,1.206035773E1
1.016525996E0,-4.610518217E-1,-8.083059311E0,6.897002220E0,1.063565025E1
1.026524762E0,-6.891490817E-1,-8.578452110E0,4.123148918E0,9.542804832E0
1.036523462E0,-1.388937235E0,-8.397397995E0,2.280445099E-1,8.514543090E0
1.046522228E0,-2.043941259E0,-8.225765228E0,-3.041127205E0,9.004963306E0
1.056520961E0,-2.226643801E0,-7.686305046E0,-6.506193638E0,1.031347582E1
1.066519761E0,-2.695280075E0,-8.757826805E0,-6.300377846E0,1.112019901E1
1.076518527E0,-2.624972343E0,-8.861035347E0,-5.605862141E0,1.080898319E1
1.086517293E0,-1.433610678E0,-1.026859856E1,-6.846804619E0,1.242489796E1
1.096516059E0,-2.830761909E0,-9.117650032E0,-8.014553070E0,1.246506382E1
1.106514825E0,-2.640291214E0,-1.072834015E1,-9.795169830E0,1.476528943E1
1.116513525E0,-2.608658075E0,-1.058238602E1,-1.204986572E1,1.624780769E1
1.126512291E0,-2.593627691E0,-1.061571217E1,-1.414331245E1,1.787326318E1
1.136511091E0,-2.384732723E0,-1.074512863E1,-1.448590469E1,1.819302543E1
1.146509791E0,-2.524068832E0,-1.057398033E1,-1.382139969E1,1.758439856E1
1.156508557E0,-2.316886663E0,-1.079969692E1,-1.318309975E1,1.719870740E1
1.166507323E0,-1.764934182E0,-1.112441158E1,-1.267872143E1,1.695928957E1
1.176506023E0,-4.743265808E-1,-1.107322884E1,-1.209038067E1,1.640178915E1
1.186504789E0,3.805510402E-1,-1.087159348E1,-9.441353798E0,1.440401074E1
1.196503589E0,8.079722524E-1,-9.969106674E0,-8.544116974E0,1.315438489E1
1.206502355E0,1.489569187E0,-9.826038361E0,-7.098999977E0,1.221333889E1
1.216501121E0,1.324631691E0,-9.758504868E0,-7.260178566E0,1.223491966E1
1.226499887E0,1.612335205E0,-9.838379860E0,-6.762925148E0,1.204701206E1
1.236498653E0,1.171986103E0,-9.921312332E0,-7.381747246E0,1.242160144E1
1.246497419E0,8.097915649E-1,-1.015938282E1,-8.050442696E0,1.298762678E1
1.256496152E0,5.715943575E-1,-1.046272278E1,-7.886907578E0,1.311482364E1
1.266494952E0,7.494306564E-2,-1.077594185E1,-7.399406910E0,1.307202210E1
1.276493818E0,-3.973138332E-1,-1.104709148E1,-6.281414032E0,1.271425384E1
1.286492618E0,-1.011530876E0,-1.113438892E1,-4.938999653E0,1.222258275E1
1.296491484E0,-2.356895924E0,-1.095680428E1,-2.693920135E0,1.152665277E1
1.306490317E0,-3.019339085E0,-1.094270325E1,1.129660606E0,1.140768583E1
1.316489150E0,-3.116825104E0,-1.068677902E1,3.337367058E0,1.162152587E1
